episode,update,scenario_id,electricity_cost,carbon_emissions_kg,carbon_trading_cost,carbon_trading_revenue,system_cost,mean_start_delay_slots,remote_subtask_fraction,fallback_actions,capacity_violations,decision_epochs
36,0,train_0094,11951.986650949435,9912.706329386569,41.27063293865686,0.0,11993.257283888091,18.14,0.58,0.0,0.0,5.0
37,0,train_0166,12192.770483783195,10296.87301188532,79.687301188532,0.0,12272.457784971728,14.64,0.64,0.0,0.0,5.0
38,0,train_0087,12548.711739591716,10731.319079411722,123.13190794117219,0.0,12671.843647532887,15.6,0.62,0.0,0.0,5.0
39,0,train_0135,12409.085839197267,10484.849208089056,98.48492080890556,0.0,12507.570760006172,16.44,0.62,0.0,0.0,5.0
40,0,train_0512,12503.674275541915,10173.911061701132,67.3911061701132,0.0,12571.065381712027,15.66,0.6,0.0,0.0,5.0
41,0,train_0315,12855.858803321671,10466.706546666715,96.67065466667155,0.0,12952.529457988343,17.3,0.76,0.0,0.0,5.0
42,0,train_0054,12515.677725906895,10210.441982761724,71.0441982761724,0.0,12586.721924183068,16.54,0.68,0.0,0.0,5.0
43,0,train_0258,12609.327254271411,11033.513645335292,153.35136453352916,0.0,12762.678618804941,15.26,0.62,0.0,0.0,5.0
44,0,train_0162,11757.824536290784,9948.072096121408,44.80720961214084,0.0,11802.631745902925,16.62,0.6,0.0,0.0,5.0
45,0,train_0397,12072.348763247057,10496.33391359218,99.63339135921797,0.0,12171.982154606274,15.88,0.66,0.0,0.0,5.0
46,0,train_0498,12450.334174812546,10778.607517481283,127.86075174812832,0.0,12578.194926560675,16.08,0.66,0.0,0.0,5.0
47,0,train_0007,13240.379406333013,11367.76820408411,186.77682040841103,0.0,13427.156226741425,15.54,0.56,0.0,0.0,5.0
48,0,train_0279,12175.86672674672,10349.024794205401,84.90247942054012,0.0,12260.76920616726,17.58,0.68,0.0,0.0,5.0
49,0,train_0268,12316.615156628959,10737.397186883387,123.7397186883387,0.0,12440.354875317298,15.78,0.7,0.0,0.0,5.0
50,0,train_0594,12291.1901932178,9959.241992307396,45.92419923073958,0.0,12337.11439244854,18.02,0.68,0.0,0.0,5.0
51,0,train_0219,12540.387408839359,10504.193926264532,100.4193926264532,0.0,12640.806801465811,15.9,0.62,0.0,0.0,5.0
52,0,train_0099,11675.95552201006,10291.866840662055,79.18668406620546,0.0,11755.142206076265,18.74,0.62,0.0,0.0,5.0
53,0,train_0117,12178.2873035983,9905.69293587606,40.56929358760608,0.0,12218.856597185906,15.82,0.68,0.0,0.0,5.0
54,0,train_0286,12796.149022626949,10855.838020695497,135.5838020695497,0.0,12931.732824696499,15.6,0.64,0.0,0.0,5.0
55,0,train_0356,12793.623227361466,10218.08309593986,71.8083095939861,0.0,12865.431536955452,16.08,0.62,0.0,0.0,5.0
56,0,train_0195,12703.66593805734,10837.235418476444,133.72354184764444,0.0,12837.389479904985,19.22,0.62,0.0,0.0,5.0
57,0,train_0261,12336.606742947351,10574.481823751994,107.4481823751994,0.0,12444.05492532255,16.32,0.84,0.0,0.0,5.0
58,0,train_0397,11837.27315305468,10548.586124304029,104.8586124304029,0.0,11942.131765485083,15.02,0.68,0.0,0.0,5.0
59,0,train_0179,12346.546285071792,10353.250914908216,85.32509149082162,0.0,12431.871376562614,14.5,0.6,0.0,0.0,5.0
60,0,train_0578,12270.824209488572,10201.638629001509,70.16386290015089,0.0,12340.988072388722,19.48,0.58,0.0,0.0,5.0
61,0,train_0125,11758.96056814225,10361.067208639222,86.10672086392225,0.0,11845.067289006172,16.76,0.54,0.0,0.0,5.0
62,0,train_0561,12380.098874963314,10808.671458860683,130.8671458860683,0.0,12510.966020849382,14.8,0.6,0.0,0.0,5.0
63,0,train_0524,11942.681175502392,10305.568782913953,80.55687829139534,0.0,12023.238053793788,17.44,0.6,0.0,0.0,5.0
64,0,train_0574,12472.094986282726,10580.230245629358,108.02302456293583,0.0,12580.118010845661,14.04,0.72,0.0,0.0,5.0
65,0,train_0478,12460.823509739865,10316.970161982663,81.69701619826628,0.0,12542.520525938131,16.32,0.58,0.0,0.0,5.0
66,0,train_0317,12470.324014878077,10225.475354691347,72.54753546913471,0.0,12542.871550347212,14.06,0.6,0.0,0.0,5.0
67,0,train_0364,12580.498374327679,10416.531328304964,91.65313283049636,0.0,12672.151507158174,18.36,0.58,0.0,0.0,5.0
68,0,train_0124,12320.641766389661,10955.338458020422,145.5338458020422,0.0,12466.175612191702,17.4,0.74,0.0,0.0,5.0
69,0,train_0207,11658.616628761321,10269.921000500566,76.99210005005662,0.0,11735.608728811378,13.8,0.68,0.0,0.0,5.0
70,0,train_0277,12211.21389994381,10362.140360812095,86.21403608120946,0.0,12297.42793602502,15.46,0.68,0.0,0.0,5.0
71,0,train_0568,12788.65745965816,10879.654943893154,137.96549438931544,0.0,12926.622954047474,17.44,0.54,0.0,0.0,5.0
72,0,train_0476,12271.942994318739,10499.107600607482,99.91076006074819,0.0,12371.853754379486,18.52,0.64,0.0,0.0,5.0
73,0,train_0338,12298.063576610584,10606.119000530187,110.6119000530187,0.0,12408.675476663602,15.46,0.64,0.0,0.0,5.0
74,0,train_0357,12148.811409214773,10084.410267703515,58.44102677035153,0.0,12207.252435985125,15.68,0.72,0.0,0.0,5.0
75,0,train_0259,12460.925404264151,10722.489904942315,122.24899049423148,0.0,12583.174394758384,15.3,0.66,0.0,0.0,5.0
76,0,train_0251,12375.758943693934,10421.454499174559,92.14544991745589,0.0,12467.90439361139,13.9,0.66,0.0,0.0,5.0
77,0,train_0540,12429.36725052563,10561.108372409633,106.11083724096335,0.0,12535.478087766594,15.48,0.62,0.0,0.0,5.0
78,0,train_0002,12600.580509550913,10029.325999656201,52.932599965620106,0.0,12653.513109516532,13.84,0.66,0.0,0.0,5.0
79,0,train_0191,12380.304624389679,10699.382547242869,119.93825472428689,0.0,12500.242879113966,15.14,0.6,0.0,0.0,5.0
80,0,train_0245,12292.515268781855,10011.462544297854,51.14625442978541,0.0,12343.66152321164,15.78,0.58,0.0,0.0,5.0
81,0,train_0417,12166.134429388705,10207.929290541064,70.7929290541064,0.0,12236.927358442812,15.26,0.64,0.0,0.0,5.0
82,0,train_0247,12365.832966065303,10794.195051980389,129.41950519803888,0.0,12495.252471263342,16.26,0.6,0.0,0.0,5.0
83,0,train_0188,12653.24992328398,10440.069727533119,94.00697275331186,0.0,12747.256896037292,15.42,0.56,0.0,0.0,5.0
84,0,train_0047,12325.139638208677,10093.197576388018,59.319757638801825,0.0,12384.459395847478,14.2,0.66,0.0,0.0,5.0
85,0,train_0156,12405.918366333026,10428.77932239751,92.87793223975096,0.0,12498.796298572777,17.24,0.58,0.0,0.0,5.0
86,0,train_0063,12334.851035668538,10898.573587279727,139.8573587279727,0.0,12474.708394396512,16.18,0.62,0.0,0.0,5.0
87,0,train_0420,12464.65747255321,10415.946808165678,91.59468081656779,0.0,12556.252153369778,15.34,0.6,0.0,0.0,5.0
88,0,train_0256,12605.92222419553,10433.387701981817,93.33877019818175,0.0,12699.260994393711,16.06,0.68,0.0,0.0,5.0
89,0,train_0136,12227.94868657885,10488.991854979073,98.89918549790728,0.0,12326.847872076756,17.86,0.7,0.0,0.0,5.0
90,0,train_0324,12366.125631403604,10247.806624073382,74.78066240733824,0.0,12440.906293810942,14.28,0.64,0.0,0.0,5.0
91,0,train_0295,12460.079986410303,10087.253644340624,58.725364434062435,0.0,12518.805350844365,16.72,0.58,0.0,0.0,5.0
92,0,train_0283,12502.696140567015,10360.856805437776,86.08568054377757,0.0,12588.781821110793,15.9,0.7,0.0,0.0,5.0
93,0,train_0348,12733.794350051865,10404.097811289586,90.40978112895864,0.0,12824.204131180824,16.74,0.72,0.0,0.0,5.0
94,0,train_0375,12492.04682874039,10543.462607266425,104.34626072664251,0.0,12596.393089467032,15.36,0.64,0.0,0.0,5.0
95,0,train_0113,12184.831895722036,10321.9931563804,82.19931563804003,0.0,12267.031211360076,16.46,0.72,0.0,0.0,5.0
96,0,train_0093,12041.509289950423,10066.835934294697,56.683593429469695,0.0,12098.192883379894,18.54,0.68,0.0,0.0,5.0
97,0,train_0438,12311.175164834653,10226.913942190213,72.69139421902128,0.0,12383.866559053673,16.4,0.62,0.0,0.0,5.0
98,0,train_0583,12240.690794372633,10419.027080106976,91.90270801069765,0.0,12332.59350238333,16.04,0.56,0.0,0.0,5.0
99,0,train_0329,12378.08413875695,10338.995625166062,83.89956251660624,0.0,12461.983701273557,16.9,0.68,0.0,0.0,5.0
100,0,train_0270,12404.856377150338,10449.467519983353,94.94675199833529,0.0,12499.803129148673,16.56,0.7,0.0,0.0,5.0
101,0,train_0372,12609.750496527962,10700.870220294582,120.08702202945824,0.0,12729.83751855742,16.84,0.7,0.0,0.0,5.0
102,0,train_0020,12791.235961829989,10701.46184015856,120.14618401585595,0.0,12911.382145845844,15.56,0.56,0.0,0.0,5.0
103,0,train_0223,12259.975388261882,10439.271038140774,93.92710381407743,0.0,12353.90249207596,14.62,0.56,0.0,0.0,5.0
104,0,train_0215,12416.595842003107,10719.073081803184,121.90730818031844,0.0,12538.503150183426,16.54,0.68,0.0,0.0,5.0
105,0,train_0252,12087.940379818456,10390.318438535445,89.03184385354453,0.0,12176.972223672,14.46,0.7,0.0,0.0,5.0
106,0,train_0446,11991.711326273202,10330.50739321192,83.05073932119194,0.0,12074.762065594394,16.6,0.68,0.0,0.0,5.0
107,0,train_0296,12646.345613921943,10387.764738001068,88.77647380010677,0.0,12735.12208772205,15.96,0.68,0.0,0.0,5.0
108,0,train_0513,12301.101154710086,10290.695882083226,79.06958820832261,0.0,12380.170742918408,15.78,0.62,0.0,0.0,5.0
109,0,train_0281,12747.425251661061,10611.703280676573,111.1703280676573,0.0,12858.595579728719,16.1,0.7,0.0,0.0,5.0
110,0,train_0020,12762.81708904805,10859.97101768334,135.99710176833398,0.0,12898.814190816385,13.46,0.64,0.0,0.0,5.0
111,0,train_0405,12771.302692022447,10828.0713650558,132.8071365055799,0.0,12904.109828528028,15.76,0.6,0.0,0.0,5.0
112,0,train_0478,12324.838728358887,10603.883444402378,110.38834444023779,0.0,12435.227072799125,16.64,0.66,0.0,0.0,5.0
113,0,train_0346,12650.851533830457,10733.309374629354,123.33093746293544,0.0,12774.182471293392,15.98,0.62,0.0,0.0,5.0
114,0,train_0562,12144.336330196618,10814.049818415278,131.40498184152784,0.0,12275.741312038146,14.18,0.58,0.0,0.0,5.0
115,0,train_0249,12400.345150824947,10639.656123211722,113.9656123211722,0.0,12514.310763146119,16.0,0.52,0.0,0.0,5.0
116,0,train_0478,12637.778022605764,10253.104383648773,75.31043836487734,0.0,12713.08846097064,16.34,0.68,0.0,0.0,5.0
117,0,train_0001,12343.678341285384,10027.656328663958,52.765632866395755,0.0,12396.44397415178,13.58,0.6,0.0,0.0,5.0
118,0,train_0023,12331.970714804738,9918.659562461924,41.865956246192404,0.0,12373.83667105093,15.7,0.68,0.0,0.0,5.0
119,0,train_0476,12209.038725194252,10531.996420297079,103.19964202970787,0.0,12312.23836722396,18.84,0.64,0.0,0.0,5.0
120,0,train_0524,11911.13898500173,9967.464373533478,46.74643735334776,0.0,11957.885422355077,17.02,0.66,0.0,0.0,5.0
121,0,train_0311,12560.103200884909,10657.303205563,115.73032055629993,0.0,12675.833521441209,15.86,0.68,0.0,0.0,5.0
122,0,train_0451,12352.451098268957,10865.01079302109,136.50107930210908,0.0,12488.952177571065,16.46,0.56,0.0,0.0,5.0
123,0,train_0195,12685.259432926887,10780.253817553368,128.02538175533684,0.0,12813.284814682223,18.44,0.72,0.0,0.0,5.0
124,0,train_0436,12732.720236493464,10624.454567147794,112.44545671477937,0.0,12845.165693208242,16.4,0.6,0.0,0.0,5.0
125,0,train_0299,12306.915609456773,10340.84535719073,84.08453571907303,0.0,12391.000145175847,14.06,0.64,0.0,0.0,5.0
126,0,train_0182,12646.135982132007,10956.224405408637,145.6224405408637,0.0,12791.75842267287,16.46,0.66,0.0,0.0,5.0
127,0,train_0056,11892.440214252363,10200.833556546486,70.08335565464859,0.0,11962.52356990701,17.06,0.68,0.0,0.0,5.0
128,0,train_0104,12308.739905785227,10434.03195005868,93.40319500586793,0.0,12402.143100791094,17.06,0.6,0.0,0.0,5.0
129,0,train_0542,12026.338979964316,10482.451720997948,98.24517209979477,0.0,12124.58415206411,14.96,0.68,0.0,0.0,5.0
130,0,train_0266,12615.7335069306,10507.636338423563,100.76363384235628,0.0,12716.497140772955,15.98,0.66,0.0,0.0,5.0
131,0,train_0593,12162.831949817848,10533.937576636697,103.39375766366976,0.0,12266.225707481517,14.08,0.66,0.0,0.0,5.0
132,0,train_0211,12326.88177761326,10574.079762178424,107.40797621784242,0.0,12434.289753831103,17.28,0.7,0.0,0.0,5.0
133,0,train_0035,12870.937899748626,10845.428802365115,134.54288023651154,0.0,13005.480779985137,17.8,0.6,0.0,0.0,5.0
134,0,train_0153,12133.258675267942,10517.870671771569,101.78706717715687,0.0,12235.045742445098,17.98,0.56,0.0,0.0,5.0
135,0,train_0214,12221.944924004005,10083.896842242564,58.38968422425642,0.0,12280.33460822826,16.02,0.62,0.0,0.0,5.0
136,0,train_0420,12261.33954085815,10468.475097935385,96.84750979353849,0.0,12358.187050651688,15.56,0.8,0.0,0.0,5.0
137,0,train_0438,11961.670384557317,10688.40437452804,118.84043745280397,0.0,12080.510822010121,17.48,0.66,0.0,0.0,5.0
138,0,train_0442,12669.65990431113,10746.460849112356,124.64608491123563,0.0,12794.305989222365,14.84,0.68,0.0,0.0,5.0
139,0,train_0188,12422.205530784764,10540.545964793075,104.05459647930748,0.0,12526.260127264071,15.22,0.74,0.0,0.0,5.0
140,0,train_0228,12489.59301473103,10138.589599327799,63.85895993277991,0.0,12553.45197466381,14.48,0.68,0.0,0.0,5.0
141,0,train_0340,12538.922656581217,10087.478241631663,58.7478241631663,0.0,12597.670480744384,16.62,0.58,0.0,0.0,5.0
142,0,train_0363,12613.569184111791,10413.583735471891,91.35837354718916,0.0,12704.92755765898,15.48,0.6,0.0,0.0,5.0
143,0,train_0249,12237.385717787445,10755.403189265138,125.54031892651383,0.0,12362.92603671396,16.8,0.52,0.0,0.0,5.0
144,0,train_0114,12408.318665924055,10406.754579888042,90.6754579888042,0.0,12498.994123912858,16.1,0.66,0.0,0.0,5.0
145,0,train_0464,12389.16886032627,10457.641674996486,95.76416749964865,0.0,12484.933027825919,15.86,0.6,0.0,0.0,5.0
146,0,train_0312,11977.150375506837,10321.864347263796,82.1864347263796,0.0,12059.336810233217,15.8,0.7,0.0,0.0,5.0
147,0,train_0575,12914.555196248553,10473.112922416663,97.31129224166635,0.0,13011.86648849022,17.0,0.62,0.0,0.0,5.0
148,0,train_0567,13196.454516975904,10862.330600878595,136.23306008785949,0.0,13332.687577063763,16.92,0.58,0.0,0.0,5.0
149,0,train_0533,12221.709981815868,10015.238538520905,51.52385385209055,0.0,12273.233835667957,17.16,0.7,0.0,0.0,5.0
150,0,train_0576,12402.681155281018,10054.305351097739,55.430535109773885,0.0,12458.111690390791,14.22,0.6,0.0,0.0,5.0
151,0,train_0372,12640.027904059758,10610.247316791,111.02473167909994,0.0,12751.052635738857,16.86,0.66,0.0,0.0,5.0
152,0,train_0178,12427.312623525322,10260.55616165338,76.05561616533797,0.0,12503.36823969066,14.36,0.76,0.0,0.0,5.0
153,0,train_0096,12735.790739189315,10326.359307560126,82.63593075601257,0.0,12818.426669945327,16.14,0.66,0.0,0.0,5.0
154,0,train_0063,12594.246972547846,10613.556730859831,111.35567308598311,0.0,12705.60264563383,15.58,0.48,0.0,0.0,5.0
155,0,train_0568,12754.82749339271,10587.83231124069,108.78323112406906,0.0,12863.610724516779,17.18,0.7,0.0,0.0,5.0
156,0,train_0162,11799.42433462429,10029.514746041856,52.95147460418557,0.0,11852.375809228475,16.64,0.6,0.0,0.0,5.0
157,0,train_0014,12326.88347809959,10613.224226773571,111.32242267735711,0.0,12438.205900776946,18.06,0.6,0.0,0.0,5.0
158,0,train_0022,12410.076044859648,10616.991935525493,111.69919355254933,0.0,12521.775238412198,17.12,0.58,0.0,0.0,5.0
159,0,train_0178,12213.343362543888,10297.010060712111,79.70100607121113,0.0,12293.0443686151,13.92,0.66,0.0,0.0,5.0
160,0,train_0587,12385.08888734957,10216.907099792897,71.69070997928975,0.0,12456.77959732886,16.8,0.6,0.0,0.0,5.0
161,0,train_0168,12431.739108588608,10899.19515783317,139.919515783317,0.0,12571.658624371925,15.68,0.72,0.0,0.0,5.0
162,0,train_0061,12228.494414482406,10675.83781411188,117.58378141118793,0.0,12346.078195893593,16.74,0.5,0.0,0.0,5.0
163,0,train_0403,12794.510669875777,10717.221875434458,121.72218754344577,0.0,12916.232857419223,13.74,0.7,0.0,0.0,5.0
164,0,train_0035,12930.336919586513,11082.00420846363,158.200420846363,0.0,13088.537340432875,16.88,0.7,0.0,0.0,5.0
165,0,train_0292,12484.974062354471,10401.8377171283,90.18377171282992,0.0,12575.1578340673,16.76,0.56,0.0,0.0,5.0
166,0,train_0051,12692.431725757462,10305.877239638041,80.5877239638041,0.0,12773.019449721267,16.28,0.66,0.0,0.0,5.0
167,0,train_0055,12639.690425436762,10372.759553600501,87.2759553600501,0.0,12726.966380796812,14.88,0.66,0.0,0.0,5.0
168,0,train_0216,12164.462814912436,10100.298218435291,60.029821843529135,0.0,12224.492636755966,18.9,0.76,0.0,0.0,5.0
169,0,train_0007,13025.022653717831,10995.495854277779,149.54958542777786,0.0,13174.57223914561,14.78,0.68,0.0,0.0,5.0
170,0,train_0510,12959.915557033273,10540.602950350996,104.06029503509963,0.0,13063.975852068374,16.74,0.66,0.0,0.0,5.0
171,0,train_0362,12100.116249978317,10337.176243609681,83.71762436096816,0.0,12183.833874339285,16.56,0.6,0.0,0.0,5.0
172,0,train_0560,12203.265831915225,10593.30931887147,109.33093188714702,0.0,12312.596763802372,17.56,0.64,0.0,0.0,5.0
173,0,train_0294,12171.850235954105,10329.585462730742,82.95854627307418,0.0,12254.80878222718,14.7,0.6,0.0,0.0,5.0
174,0,train_0333,12560.866591978356,10779.156617596456,127.91566175964563,0.0,12688.782253738002,15.32,0.74,0.0,0.0,5.0
175,0,train_0360,12397.98528265121,10076.779295603828,57.677929560382836,0.0,12455.663212211593,15.06,0.64,0.0,0.0,5.0
176,0,train_0279,12457.144285478777,10536.328365917758,103.63283659177578,0.0,12560.777122070553,15.74,0.7,0.0,0.0,5.0
177,0,train_0338,12503.2969180408,10404.433141340545,90.44331413405453,0.0,12593.740232174854,15.92,0.66,0.0,0.0,5.0
178,0,train_0343,13070.146788170248,10740.095696918863,124.00956969188628,0.0,13194.156357862135,17.04,0.62,0.0,0.0,5.0
179,0,train_0534,12108.59963833578,10453.346917868072,95.33469178680717,0.0,12203.934330122587,15.98,0.74,0.0,0.0,5.0
180,0,train_0182,12833.967492815309,10550.50590319532,105.05059031953206,0.0,12939.01808313484,14.78,0.64,0.0,0.0,5.0
181,0,train_0551,12056.769931615134,10217.091354609169,71.70913546091688,0.0,12128.47906707605,16.0,0.7,0.0,0.0,5.0
182,0,train_0103,12164.479532890757,10347.892339320675,84.78923393206752,0.0,12249.268766822825,16.24,0.76,0.0,0.0,5.0
183,0,train_0112,12491.982642320228,10397.546601272028,89.75466012720281,0.0,12581.737302447431,15.92,0.72,0.0,0.0,5.0
184,0,train_0153,12195.921553605538,10513.14493036078,101.31449303607806,0.0,12297.236046641616,16.84,0.58,0.0,0.0,5.0
185,0,train_0565,12706.939878957033,10598.346017430524,109.83460174305237,0.0,12816.774480700085,15.9,0.6,0.0,0.0,5.0
186,0,train_0146,12212.570591390286,10340.010207926714,84.00102079267145,0.0,12296.571612182957,15.02,0.74,0.0,0.0,5.0
187,0,train_0472,12579.33136155991,10305.03507406591,80.50350740659105,0.0,12659.834868966502,16.52,0.7,0.0,0.0,5.0
188,0,train_0349,12134.889215267382,10196.688282441712,69.66882824417117,0.0,12204.558043511553,16.84,0.58,0.0,0.0,5.0
189,0,train_0383,12125.030661742003,10199.128436460433,69.91284364604326,0.0,12194.943505388046,15.72,0.56,0.0,0.0,5.0
190,0,train_0046,12134.523338392217,10229.56762011838,72.95676201183797,0.0,12207.480100404055,16.64,0.64,0.0,0.0,5.0
191,0,train_0395,12115.166807082212,10433.760965872898,93.3760965872898,0.0,12208.542903669502,15.66,0.62,0.0,0.0,5.0
192,1,train_0041,12305.388602028683,10381.585332187933,88.15853321879331,0.0,12393.547135247476,14.0,0.68,0.0,0.0,5.0
193,1,train_0327,12786.387661445395,10259.201026519082,75.92010265190821,0.0,12862.307764097302,16.54,0.62,0.0,0.0,5.0
194,1,train_0472,12589.09128691374,10995.309566088688,149.53095660886885,0.0,12738.622243522608,15.98,0.64,0.0,0.0,5.0
195,1,train_0550,12369.383299475498,10285.842643052829,78.58426430528289,0.0,12447.967563780781,17.32,0.64,0.0,0.0,5.0
196,1,train_0593,12523.932724886787,9985.199752984332,48.5199752984332,0.0,12572.45270018522,13.86,0.82,0.0,0.0,5.0
197,1,train_0139,12391.181002460005,10090.12789870234,59.01278987023397,0.0,12450.19379233024,14.44,0.72,0.0,0.0,5.0
198,1,train_0460,12817.886374870877,10031.622392944228,53.16223929442276,0.0,12871.0486141653,15.3,0.64,0.0,0.0,5.0
199,1,train_0359,12294.626083791572,10673.621655376319,117.36216553763188,0.0,12411.988249329204,15.24,0.72,0.0,0.0,5.0
200,1,train_0440,12756.310723077366,10802.847950861877,130.28479508618767,0.0,12886.595518163553,15.92,0.72,0.0,0.0,5.0
201,1,train_0488,12307.77381965682,10637.833984423058,113.78339844230578,0.0,12421.557218099126,14.46,0.46,0.0,0.0,5.0
202,1,train_0284,12191.40625724371,10748.890036626763,124.88900366267626,0.0,12316.295260906387,15.32,0.44,0.0,0.0,5.0
203,1,train_0080,12568.903642360532,10589.01637269737,108.90163726973697,0.0,12677.805279630269,16.28,0.66,0.0,0.0,5.0
204,1,train_0473,12135.218553918188,10356.897437468428,85.68974374684277,0.0,12220.908297665032,18.18,0.6,0.0,0.0,5.0
205,1,train_0369,12206.344027321276,10437.36082921095,93.73608292109493,0.0,12300.080110242372,14.92,0.64,0.0,0.0,5.0
206,1,train_0080,12713.995500011868,10736.091368264031,123.60913682640313,0.0,12837.60463683827,13.76,0.66,0.0,0.0,5.0
207,1,train_0241,12321.66254966386,10212.97605401919,71.29760540191891,0.0,12392.960155065779,15.38,0.58,0.0,0.0,5.0
208,1,train_0087,12390.768220571743,11215.73706581572,171.57370658157197,0.0,12562.341927153315,15.74,0.58,0.0,0.0,5.0
209,1,train_0459,12390.01178968901,10628.905863899783,112.89058638997831,0.0,12502.902376078988,16.56,0.78,0.0,0.0,5.0
210,1,train_0200,12500.377478617385,10342.481825830346,84.24818258303458,0.0,12584.62566120042,16.7,0.7,0.0,0.0,5.0
211,1,train_0040,12598.034239384528,10686.644817378094,118.66448173780937,0.0,12716.698721122337,17.32,0.7,0.0,0.0,5.0
